cod;nome;ano;valor;;;;;;;;;;
53;DF;2005;657;;;;;;;;;;
42;SC;2005;633;;;;;;;;;;
50;MS;2005;631;;;;;;;;;;
13;AM;2005;599;;;;;;;;;;
11;RO;2005;555;;;;;;;;;;
28;SE;2005;487;;;;;;;;;;
24;RN;2005;406;;;;;;;;;;
22;PI;2005;368;;;;;;;;;;
16;AP;2005;196;;;;;;;;;;
17;TO;2005;190;;;;;;;;;;
12;AC;2005;124;;;;;;;;;;
14;RR;2005;95;;;;;;;;;;
35;SP;2004;11336;;;;;;;;;;
33;RJ;2004;7731;;;;;;;;;;
31;MG;2004;4286;;;;;;;;;;
26;PE;2004;4174;;;;;;;;;;
41;PR;2004;2826;;;;;;;;;;
29;BA;2004;2262;;;;;;;;;;
43;RS;2004;1982;;;;;;;;;;
32;ES;2004;1619;;;;;;;;;;
23;CE;2004;1582;;;;;;;;;;
52;GO;2004;1524;;;;;;;;;;
15;PA;2004;1519;;;;;;;;;;
27;AL;2004;1035;;;;;;;;;;
51;MT;2004;853;;;;;;;;;;
21;MA;2004;732;;;;;;;;;;
53;DF;2004;696;;;;;;;;;;
25;PB;2004;675;;;;;;;;;;
50;MS;2004;656;;;;;;;;;;
42;SC;2004;638;;;;;;;;;;
11;RO;2004;563;;;;;;;;;;
13;AM;2004;526;;;;;;;;;;
28;SE;2004;454;;;;;;;;;;
24;RN;2004;344;;;;;;;;;;
22;PI;2004;327;;;;;;;;;;
17;TO;2004;198;;;;;;;;;;
16;AP;2004;172;;;;;;;;;;
12;AC;2004;114;;;;;;;;;;
14;RR;2004;85;;;;;;;;;;
35;SP;2003;14048;;;;;;;;;;
33;RJ;2003;8115;;;;;;;;;;
26;PE;2003;4517;;;;;;;;;;
31;MG;2003;3869;;;;;;;;;;
41;PR;2003;2555;;;;;;;;;;
29;BA;2003;2166;;;;;;;;;;
43;RS;2003;1908;;;;;;;;;;
32;ES;2003;1629;;;;;;;;;;
23;CE;2003;1563;;;;;;;;;;
15;PA;2003;1405;;;;;;;;;;
52;GO;2003;1346;;;;;;;;;;
27;AL;2003;1039;;;;;;;;;;
51;MT;2003;908;;;;;;;;;;
21;MA;2003;795;;;;;;;;;;
53;DF;2003;742;;;;;;;;;;
50;MS;2003;705;;;;;;;;;;
42;SC;2003;670;;;;;;;;;;
25;PB;2003;616;;;;;;;;;;
11;RO;2003;566;;;;;;;;;;
13;AM;2003;558;;;;;;;;;;
28;SE;2003;469;;;;;;;;;;
24;RN;2003;405;;;;;;;;;;
22;PI;2003;298;;;;;;;;;;
17;TO;2003;204;;;;;;;;;;
16;AP;2003;185;;;;;;;;;;
12;AC;2003;147;;;;;;;;;;
14;RR;2003;106;;;;;;;;;;
35;SP;2002;14526;;;;;;;;;;
33;RJ;2002;8335;;;;;;;;;;
26;PE;2002;4396;;;;;;;;;;
31;MG;2002;2994;;;;;;;;;;
41;PR;2002;2266;;;;;;;;;;
43;RS;2002;1912;;;;;;;;;;
29;BA;2002;1759;;;;;;;;;;
32;ES;2002;1644;;;;;;;;;;
23;CE;2002;1445;;;;;;;;;;
52;GO;2002;1370;;;;;;;;;;
15;PA;2002;1192;;;;;;;;;;
27;AL;2002;991;;;;;;;;;;
51;MT;2002;948;;;;;;;;;;
50;MS;2002;684;;;;;;;;;;
53;DF;2002;641;;;;;;;;;;
