cod;nome;ano;valor;;
25;PB;2002;551;;
24;RN;2002;276;;
23;CE;2002;1320;;
22;PI;2002;279;;
21;MA;2002;567;;
17;TO;2002;150;;
16;AP;2002;169;;
15;PA;2002;1119;;
14;RR;2002;110;;
13;AM;2002;478;;
12;AC;2002;140;;
11;RO;2002;569;;
53;DF;2002;591;;
52;GO;2002;1225;;
51;MT;2002;856;;
50;MS;2002;605;;
43;RS;2002;1714;;
42;SC;2002;510;;
41;PR;2002;2061;;
35;SP;2002;13471;;
33;RJ;2002;7748;;
32;ES;2002;1494;;
31;MG;2002;2700;;
29;BA;2002;1634;;
28;SE;2002;519;;
27;AL;2002;921;;
26;PE;2002;4118;;
25;PB;2002;551;;
24;RN;2002;276;;
23;CE;2002;1320;;
22;PI;2002;279;;
21;MA;2002;567;;
17;TO;2002;150;;
16;AP;2002;169;;
15;PA;2002;1119;;
14;RR;2002;110;;
13;AM;2002;478;;
12;AC;2002;140;;
11;RO;2002;569;;
53;DF;2003;678;;
52;GO;2003;1201;;
51;MT;2003;818;;
50;MS;2003;640;;
43;RS;2003;1731;;
42;SC;2003;600;;
41;PR;2003;2326;;
35;SP;2003;13017;;
33;RJ;2003;7579;;
32;ES;2003;1487;;
31;MG;2003;3493;;
29;BA;2003;2014;;
28;SE;2003;435;;
27;AL;2003;972;;
26;PE;2003;4243;;
25;PB;2003;579;;
24;RN;2003;373;;
23;CE;2003;1460;;
22;PI;2003;265;;
21;MA;2003;726;;
17;TO;2003;182;;
16;AP;2003;170;;
15;PA;2003;1311;;
14;RR;2003;100;;
13;AM;2003;523;;
12;AC;2003;132;;
11;RO;2003;514;;
12;AC;2003;132;;
13;AM;2003;523;;
14;RR;2003;100;;
15;PA;2003;1311;;
16;AP;2003;170;;
17;TO;2003;182;;
21;MA;2003;726;;
22;PI;2003;265;;
23;CE;2003;1460;;
24;RN;2003;373;;
25;PB;2003;579;;
26;PE;2003;4243;;
27;AL;2003;972;;
11;RO;2003;514;;
28;SE;2003;435;;
29;BA;2003;2014;;
31;MG;2003;3493;;
32;ES;2003;1487;;
33;RJ;2003;7579;;
35;SP;2003;13017;;
41;PR;2003;2326;;
42;SC;2003;600;;
43;RS;2003;1731;;
50;MS;2003;640;;
51;MT;2003;818;;
52;GO;2003;1201;;
53;DF;2003;678;;
27;AL;2004;960;;
11;RO;2004;529;;
12;AC;2004;104;;
13;AM;2004;477;;
14;RR;2004;78;;
15;PA;2004;1426;;
