cod;nome;ano;valor;;
24;RN;2004;21;;
25;PB;2004;60;;
26;PE;2004;276;;
27;AL;2004;75;;
28;SE;2004;29;;
29;BA;2004;195;;
31;MG;2004;373;;
32;ES;2004;137;;
33;RJ;2004;506;;
35;SP;2004;861;;
41;PR;2004;249;;
42;SC;2004;79;;
43;RS;2004;195;;
50;MS;2004;55;;
51;MT;2004;99;;
52;GO;2004;142;;
53;DF;2004;52;;
53;DF;2005;47;;
12;AC;2005;13;;
13;AM;2005;48;;
14;RR;2005;11;;
15;PA;2005;127;;
16;AP;2005;15;;
17;TO;2005;21;;
21;MA;2005;58;;
22;PI;2005;40;;
23;CE;2005;143;;
24;RN;2005;41;;
25;PB;2005;62;;
26;PE;2005;282;;
27;AL;2005;74;;
28;SE;2005;28;;
29;BA;2005;211;;
31;MG;2005;377;;
32;ES;2005;149;;
33;RJ;2005;507;;
35;SP;2005;776;;
41;PR;2005;239;;
42;SC;2005;68;;
43;RS;2005;209;;
50;MS;2005;70;;
51;MT;2005;89;;
52;GO;2005;133;;
11;RO;2005;49;;
53;DF;2005;47;;
52;GO;2005;133;;
51;MT;2005;89;;
50;MS;2005;70;;
43;RS;2005;209;;
42;SC;2005;68;;
41;PR;2005;239;;
35;SP;2005;776;;
33;RJ;2005;507;;
32;ES;2005;149;;
31;MG;2005;377;;
29;BA;2005;211;;
28;SE;2005;28;;
27;AL;2005;74;;
26;PE;2005;282;;
25;PB;2005;62;;
24;RN;2005;41;;
23;CE;2005;143;;
22;PI;2005;40;;
21;MA;2005;58;;
17;TO;2005;21;;
16;AP;2005;15;;
15;PA;2005;127;;
14;RR;2005;11;;
13;AM;2005;48;;
12;AC;2005;13;;
11;RO;2005;49;;
53;DF;2006;49;;
52;GO;2006;143;;
51;MT;2006;70;;
50;MS;2006;55;;
43;RS;2006;162;;
42;SC;2006;92;;
41;PR;2006;249;;
35;SP;2006;788;;
33;RJ;2006;504;;
32;ES;2006;183;;
31;MG;2006;392;;
29;BA;2006;243;;
28;SE;2006;40;;
27;AL;2006;106;;
26;PE;2006;310;;
25;PB;2006;62;;
24;RN;2006;42;;
23;CE;2006;134;;
22;PI;2006;32;;
21;MA;2006;67;;
17;TO;2006;22;;
16;AP;2006;13;;
15;PA;2006;140;;
14;RR;2006;13;;
13;AM;2006;53;;
12;AC;2006;15;;
11;RO;2006;51;;
11;RO;2006;51;;
52;GO;2006;143;;
51;MT;2006;70;;
50;MS;2006;55;;
43;RS;2006;162;;
42;SC;2006;92;;
41;PR;2006;249;;
35;SP;2006;788;;
33;RJ;2006;504;;
32;ES;2006;183;;
31;MG;2006;392;;
29;BA;2006;243;;
28;SE;2006;40;;
27;AL;2006;106;;
26;PE;2006;310;;
25;PB;2006;62;;
24;RN;2006;42;;
23;CE;2006;134;;
22;PI;2006;32;;
21;MA;2006;67;;
17;TO;2006;22;;
16;AP;2006;13;;
15;PA;2006;140;;
14;RR;2006;13;;
13;AM;2006;53;;
12;AC;2006;15;;
53;DF;2006;49;;
53;DF;2007;55;;
53;DF;2007;55;;
52;GO;2007;139;;
51;MT;2007;95;;
50;MS;2007;67;;
43;RS;2007;193;;
42;SC;2007;70;;
41;PR;2007;241;;
35;SP;2007;595;;
33;RJ;2007;416;;
32;ES;2007;186;;
31;MG;2007;403;;
29;BA;2007;249;;
28;SE;2007;34;;
27;AL;2007;109;;
26;PE;2007;290;;
25;PB;2007;69;;
24;RN;2007;42;;
23;CE;2007;126;;
22;PI;2007;35;;
21;MA;2007;63;;
17;TO;2007;28;;
16;AP;2007;12;;
15;PA;2007;144;;
14;RR;2007;19;;
13;AM;2007;52;;
12;AC;2007;18;;
11;RO;2007;28;;
11;RO;2007;28;;
12;AC;2007;18;;
13;AM;2007;52;;
14;RR;2007;19;;
15;PA;2007;144;;
16;AP;2007;12;;
17;TO;2007;28;;
21;MA;2007;63;;
22;PI;2007;35;;
23;CE;2007;126;;
24;RN;2007;42;;
25;PB;2007;69;;
26;PE;2007;290;;
27;AL;2007;109;;
28;SE;2007;34;;
29;BA;2007;249;;
31;MG;2007;403;;
32;ES;2007;186;;
33;RJ;2007;416;;
35;SP;2007;595;;
41;PR;2007;241;;
42;SC;2007;70;;
43;RS;2007;193;;
50;MS;2007;67;;
51;MT;2007;95;;
52;GO;2007;139;;
12;AC;2008;13;;
13;AM;2008;63;;
14;RR;2008;15;;
15;PA;2008;169;;
16;AP;2008;13;;
17;TO;2008;21;;
21;MA;2008;81;;
22;PI;2008;38;;
23;CE;2008;117;;
24;RN;2008;59;;
25;PB;2008;87;;
26;PE;2008;298;;
